172.16.119.147 RTSA-01-RS.SHN.SDM 5 5 0%
172.16.12.91 RTSA-01-RS-OSR-OSR 23 23 0%
172.16.127.242 RTSA-01-RS-PMB-PMI 42 33 0%
172.16.129.170 RTSA-01-RS-BGV-BGO-AIRSW-577 32 26 0%
172.16.135.154 RTSA-03-RS-SDD-SLD 14 14 0%
172.16.138.154 SWAC-01-RS-RGR-CID4606 no_result no_result no_result
172.16.138.154 SWAC-01-RS-RGR-CID4606 no_result no_result no_result
172.16.138.202 SWAC-01-RS-RGR-RG2 no_result no_result no_result
172.16.138.202 SWAC-01-RS-RGR-RG2 no_result no_result no_result
172.16.138.204 SWAC-04-RS-RGR-RG2 no_result no_result no_result
172.16.138.204 SWAC-04-RS-RGR-RG2 no_result no_result no_result
172.16.138.74 SWAC-05-RS-RGR-RG2 no_result no_result no_result
172.16.138.74 SWAC-05-RS-RGR-RG2 no_result no_result no_result
172.16.14.67 RTSA-01-RS-DSR-DOI 67 55 0%
172.16.140.74 rtsa-01-rs-cza-cz2 12 12 0%
172.16.142.107 SWAC-02-RS-LJO-LJ2 no_result no_result no_result
172.16.142.107 SWAC-02-RS-LJO-LJ2 no_result no_result no_result
172.16.142.114 SWAC-03-RS-LJO-LJ2 no_result no_result no_result
172.16.142.114 SWAC-03-RS-LJO-LJ2 no_result no_result no_result
172.16.142.61 RTSA-01-RS-LJO-LJO 41 37 0%
172.16.143.194 RTSA-01-RS-CND-CD1 11 8 0%
172.16.143.195 SWAC-01-RS.CND.CLA-AIRSW-764 1 1 0%
172.16.145.114 RTSA-01-RS-TJR-TPJ 9 7 0%
172.16.15.66 RTSA-01-RS-FRL-FAR 39 39 0%
172.16.152.114 RTSA-01-RS-IJI-ISU 25 24 0%
172.16.152.66 SWAC-01-RS-IJU-ISU 41 30 0%
172.16.153.123 RTSA-01-RS-EIO-EST 75 68 0%
172.16.155.194 RTSA-01-RS.SEE.SPE 16 15 0%
172.16.157.122 SWAC-01-RS-PMM-PMI 1 1 0%
172.16.157.170 SWAC-01-RS-PMM-CID2221-airsw-732 4 2 0%
172.16.157.90 RTSA-01-RS-PMM-PMI 7 6 0%
172.16.165.50 RTSA-01-RS-GTI-GTI4 no_result no_result no_result
172.16.165.50 RTSA-01-RS-GTI-GTI4 no_result no_result no_result
172.16.169.154 RTSA-01-RS-VAO-MRU 14 13 0%
172.16.17.194 airsw-183.stech.net.br no_result no_result no_result
172.16.172.52 RTSA-01-RS-PAE-PTS 84 79 0%
172.16.175.53 RTSA-01-RS-CLB-CLB 8 5 0%
172.16.179.178 RTSA-01-RS-CHN-CHN 82 80 0%
172.16.180.146 RTSA-01-RS-SAN-SMA 13 6 0%
172.16.180.52 RTSA-02-RS-SAN-SMA 23 22 0%
172.16.181.130 RTSA-01-RS-BPR-BMP 15 13 0%
172.16.184.114 SWAC-01-RS-POI-TIM-POI-SW155 11 10 0%
172.16.184.132 RTSA-01-RS-PAE-VOZ_SW-224 646 622 0%
172.16.184.227 RTSA-03-RS-PAE-STC 143 141 0%
172.16.184.228 SWAC-01-RS-PAE-STC no_result no_result no_result
172.16.184.91 RTSA-02-PAE-STC 89 68 0%
172.16.186.154 SWAC-01-RS-PAE-CGO 42 34 0%
172.16.186.155 SWAC-01-RS-POI-TEL-POI 170 151 0%
172.16.186.51 RTSA-04-RS-PAE-CGO_SW-226 660 640 0%
172.16.187.187 SWAC-13-RS-PAE-STC 112 110 0%
172.16.187.82 SWAC-01-RS-PAE-IDC 50 44 0%
172.16.188.82 RTSA-01-RS.SMA.SMA-AIRSW-392 13 5 0%
172.16.190.114 RTSA-01-RS-SBY-SEB 6 6 0%
172.16.2.10 AIRSW-052 33 21 0%
172.16.2.50 RTSA-01-RS-LVH-LVH 5 4 0%
172.16.20.50 RTSA-01-RS-IJH-IJH_SW-186 23 19 0%
172.16.200.52 SWAC-01-RS.SMA.JMS-AIRSW-731 13 12 0%
172.16.202.60 SWAC-03-RS-UGN-UGA no_result no_result no_result
172.16.202.60 SWAC-03-RS-UGN-UGA no_result no_result no_result
172.16.203.58 RTSA-01-RS-SLV-STL 6 4 0%
172.16.203.98 RTSA-01-RS-SIV-SIV 20 15 0%
172.16.205.178 RTSA-01-RS.SMA.JMS-AIRSW-552 30 25 0%
172.16.206.58 RTSA-01-RS-UGN-ITQ 6 5 0%
172.16.208.58 SWAC-01-RS-SLG-ALG no_result no_result no_result
172.16.208.58 SWAC-01-RS-SLG-ALG no_result no_result no_result
172.16.21.115 rtsa-01-rs-sfp-ivd no_result no_result no_result
172.16.21.115 rtsa-01-rs-sfp-ivd no_result no_result no_result
172.16.211.219 SWAC-05-RS-PAE-STC 5 3 0%
172.16.212.66 airsw-626.stech.net.br 1 1 0%
172.16.213.58 SWAC-03-RS-SRO-SRO 21 19 0%
172.16.213.60 RTSA-01-RS-SRO-SRO 6 6 0%
172.16.22.179 RTSA-01-RS-PKA-PCA 2 2 0%
172.16.22.210 RTSA-01-RS-TUN-HMO 19 14 0%
172.16.222.146 swac-04-rs-tri-tdi 21 13 0%
172.16.222.162 swac-03-rs-tri-tdi 4 3 0%
172.16.222.186 RTSA-01-RS-TRI-TDI-AIRSW-684 3 2 0%
172.16.225.138 RTSA-01-RS-VAO-VM2 22 22 0%
172.16.23.114 swac-01-rs-ros-rcs no_result no_result no_result
172.16.232.58 RTSA-01-RS-SGB-PFO 16 14 0%
172.16.233.50 SWAC-04-RS-GUB-GUA no_result no_result no_result
172.16.233.50 SWAC-04-RS-GUB-GUA no_result no_result no_result
172.16.233.98 SWAC-03-RS-GUB-GUA no_result no_result no_result
172.16.233.98 SWAC-03-RS-GUB-GUA no_result no_result no_result
172.16.234.50 SWAC-10-RS-SLL-SLO no_result no_result no_result
172.16.234.50 SWAC-10-RS-SLL-SLO no_result no_result no_result
172.16.234.51 SWAC-01-RS-SLL-SLO no_result no_result no_result
172.16.234.51 SWAC-01-RS-SLL-SLO no_result no_result no_result
172.16.235.178 swac-02-rs-plt-pl2 no_result no_result no_result
172.16.235.178 swac-02-rs-plt-pl2 no_result no_result no_result
172.16.235.252 AIRSW-729-vetorial no_result no_result no_result
172.16.235.50 SWAC-03-RS-PLT-PL2 no_result no_result no_result
172.16.236.74 RTSA-01-RS-TRF-TRF 24 21 0%
172.16.24.194 airsw-580.stech.net.br no_result no_result no_result
172.16.24.194 airsw-580.stech.net.br no_result no_result no_result
172.16.248.50 RTSA-01-RS-CFD-CDI 9 8 0%
172.16.248.90 SWAC-01-RS-CFD-CDI 2 2 0%
172.16.249.138 SWAC-14-RS-PAE-STC 41 32 0%
172.16.249.90 RTSA-04-RS-PAE-STC 48 32 0%
172.16.250.122 SWAC-02-RS-BGE-BGE no_result no_result no_result
172.16.250.122 SWAC-02-RS-BGE-BGE no_result no_result no_result
172.16.250.50 SWAC-04-RS-BGE-BGE no_result no_result no_result
172.16.250.50 SWAC-04-RS-BGE-BGE no_result no_result no_result
172.16.253.98 RTSA-01-RS-SUV-SND 2 2 0%
172.16.26.186 SWAC-03-RS-CAM-CAM no_result no_result no_result
172.16.26.186 SWAC-03-RS-CAM-CAM no_result no_result no_result
172.16.29.202 SWAC-01-RS-CIO-CRN 8 6 0%
172.16.29.218 RTSA-01-RS-CIO-CRN 11 11 0%
172.16.29.250 SWAC-01-RS-RZO-INFO 2 1 0%
172.16.34.218 SWAC-01-RS-ESU-ELD no_result no_result no_result
172.16.34.218 SWAC-01-RS-ESU-ELD no_result no_result no_result
172.16.35.90 SWAC-05-RS-SLE-SLD no_result no_result no_result
172.16.35.90 SWAC-05-RS-SLE-SLD no_result no_result no_result
172.16.36.106 RTSA-01-RS-VAI-VEN 9 9 0%
172.16.36.138 SWAC-02-RS-VAI-VEN 7 7 0%
172.16.37.99 SWAC-01-RS-NHO-NH1 no_result no_result no_result
172.16.37.99 SWAC-01-RS-NHO-NH1 no_result no_result no_result
172.16.39.187 SWAC-03-RS-PAS-PA2 no_result no_result no_result
172.16.39.187 SWAC-03-RS-PAS-PA2 no_result no_result no_result
172.16.4.178 SWAC-01-RS-PAE-FLR 24 19 0%
172.16.4.90 SWAC-08-RS-PAE-FLR no_result no_result no_result
172.16.4.90 SWAC-08-RS-PAE-FLR no_result no_result no_result
172.16.40.52 RTSA-01-RS-NVP-NPS 10 6 0%
172.16.42.106 RTSA-01-RS-NPT-NP3-AIRSW-565 13 11 0%
172.16.45.234 RTSA-01-RS-PLT-PEL no_result no_result no_result
172.16.45.234 RTSA-01-RS-PLT-PEL no_result no_result no_result
172.16.46.106 RTSA-01-RS-FCA-FCU-AIRSW-106 4 4 0%
172.16.49.98 SWAC-04-RS-TQR-TQR no_result no_result no_result
172.16.49.98 SWAC-04-RS-TQR-TQR no_result no_result no_result
172.16.5.157 RTSA-01-RS-CAN-CSU-AIRSW-197 143 142 0%
172.16.50.68 RTSA-01-RS-TES-TEF_SW-320 8 8 0%
172.16.51.130 RTSA-01-RS-GAO-GRE 12 11 0%
