172.17.25.66 SWAC-01-RS-PAE-HMT 19 18 
10.255.4.13 RJ.RJO.TLP.SW.EX.013 10 8 
10.255.3.147 SWAC-01-SP-OCO-OCO 18 16 
172.16.69.91 SWAC-01-RS-KDK-CCA 22 21 
10.255.3.9 RTSA-01-SP-SPO-STN 21 21 
10.255.3.135 rtsa-02-sp-mmm-jos 11 11 
172.16.232.58 RTSA-01-RS-SGB-PFO 10 10 
10.255.3.92 RTSA-01-SP-MMM-JOS 2 2 
172.16.155.194 RTSA-01-RS.SEE.SPE 15 15 
10.255.3.122 RTSA-03-SP-DTC-EQ2-POI 3 3 
172.16.181.130 RTSA-01-RS-BPR-BMP 12 11 
10.255.3.50 SWAC-01-SP-DTC-ACT-POI 4 4 
10.255.3.33 RTSA-01-SP-SPO-POA 4 4 
172.17.4.58 RTSA-02-RS-TES-TR1_AIRSW-432 13 13 
10.255.3.81 RTSA-01-SP-SPO-LIB 6 6 
10.255.4.9 RJ.RJO.GPK.SW.EX.009 9 9 
172.20.0.50 swac-02-sc-pac-gal 12 12 
172.16.169.154 RTSA-01-RS-VAO-MRU 8 8 
172.16.135.154 RTSA-03-RS-SDD-SLD 23 22 
172.17.44.50 SWAC-02-RS-CAN-CSU-AIRSW-753 18 17 
172.17.30.50 SWAC-04-RS-PAE-PTS 19 19 
10.150.109.9 BCV-PER-01-CR-X670-001.4 0 0 
172.16.200.52 SWAC-01-RS.SMA.JMS-AIRSW-731 8 8 
172.16.42.106 RTSA-01-RS-NPT-NP3-AIRSW-565 9 9 
172.17.16.58 RTSA-01-RS-SIA-SI2 13 13 
172.16.188.82 RTSA-01-RS.SMA.SMA-AIRSW-392 4 4 
172.16.180.146 RTSA-01-RS-SAN-SMA 0 0 
172.16.140.74 rtsa-01-rs-cza-cz2 25 25 
172.17.3.58 rtsa-01-rs-jcs-jcs 2 2 
172.16.51.130 RTSA-01-RS-GAO-GRE 3 3 
172.17.18.58 SWAC-01-RS-SJA-SBSA 15 13 
10.255.4.8 RJ.RJO.PEN.SW.EX.008 0 0 
172.28.22.100 RTPE-01-RJ-RJO-SCR 0 0 
172.16.143.194 RTSA-01-RS-CND-CD1 5 5 
172.16.29.218 RTSA-01-RS-CIO-CRN 15 15 
10.255.3.109 RTSA-01-SP-SJV-SJV 2 2 
10.255.3.76 SWAC-01-SP-SPO-VGE 17 17 
172.22.0.138 SWAC-04-PR-CTA-VQM_SW-679 7 6 
10.255.3.5 RTSA-01-SP-PGE-STI 7 7 
172.17.5.50 RTSA01-RS.FWN.FDW-airsw-444 11 10 
172.16.184.114 SWAC-01-RS-POI-TIM-POI-SW155 0 0 
10.255.3.53 RTSA-01-SP-SOC-NMS 0 0 
10.255.0.73 RJ-SCT-VOZ-SW-032 0 0 
10.255.3.51 RTSA-01-SP-RPO-RRP 2 2 
10.255.4.17 RJ.RJO.PLC.SW.EX.017 11 11 
10.255.6.3 CE.FLA.SPO.SW.EX.03 0 0 
10.255.3.16 RTSA-01-SP-ARQ-ARQ 2 2 
172.16.40.52 RTSA-01-RS-NVP-NPS 12 12 
11.255.51.0 RJ.RJO.PDF.SW.JN.051 0 0 
10.255.3.82 RTSA-01-SP-SPO-AME 2 2 
10.255.3.15 RTSA-01-SP-BRU-BRU 1 1 
10.255.3.6 RTSA-01-SP-INE-MPR 9 9 
10.255.3.93 RTSA-01-SP-CAS-DTC-TIM 0 0 
172.16.36.106 RTSA-01-RS-VAI-VEN 7 7 
172.16.248.50 RTSA-01-RS-CFD-CDI 4 4 
172.17.11.58 RTSA-01-RS-TEP-TEP 7 7 
172.16.145.114 RTSA-01-RS-TJR-TPJ 4 4 
10.255.3.121 RTSA-01-SP-STS-STS 2 2 
10.255.3.134 RTSA-01-SP-DTC-IBM-POI 0 0 
172.16.69.114 SWAC-02-RS-KDK-CCA-AIRSW-578 10 7 
172.16.29.202 SWAC-01-RS-CIO-CRN 14 14 
172.16.50.68 RTSA-01-RS-TES-TEF_SW-320 7 7 
172.17.12.58 RTSA-01-RS-DPO-DPO 5 5 
10.255.3.25 RTSA-01-SP-JAI-JAI 18 18 
172.16.175.53 RTSA-01-RS-CLB-CLB 6 6 
10.255.3.100 SWAC-01-SP-LRA-NML 19 17 
10.255.3.72 RTSA-01-SP-BEP-SPS 0 0 
10.255.4.16 RJ.RJO.SCR.SW.EX.016 15 13 
10.255.0.52 RTSA-01-SP-SPO-BRF-VOZ_SW-021 0 0 
10.255.3.73 RTSA-01-SP-JAU-JAU 0 0 
172.28.24.26 RTPE-01-RJ-RJO-TLP 0 0 
10.255.6.2 CE.FLA.SPO.SW.EX.2 0 0 
10.255.3.136 RTSA-04-SP-DTC-EQ2-POI 0 0 
172.16.69.122 RTSA-01-RS-KDK-CCA-AIRSW-685 2 2 
172.16.157.90 RTSA-01-RS-PMM-PMI 11 11 
172.16.36.138 SWAC-02-RS-VAI-VEN 9 9 
10.255.3.34 RTSA-01-SP-SPO-UOL-POI 0 0 
10.255.3.74 RTSA-01-SP-PDI-PDI 0 0 
172.22.0.98 RTSA-01-PR-CTA-LV3-POI_SW-621 0 0 
10.255.0.162 RTSA-01-MG-BHE-SER-VOZ(AIRSW-695) 0 0 
10.150.21.9 RTPE-01-MG-BHE-BPT 0 0 
10.255.3.64 SWAC-01-SP-CPR-OSO 0 0 
10.255.3.55 RTSA-01-SP-DTC-GVT-POI 0 0 
172.16.213.60 RTSA-01-RS-SRO-SRO 0 0 
172.17.22.58 RTSA-01-RS-HZA-HZA 3 3 
172.17.9.58 RTSA-01-RS-GRD-GRD 6 6 
172.16.190.114 RTSA-01-RS-SBY-SEB 3 3 
10.255.3.61 SWAC-01-SP-SOC-NMS 2 2 
10.255.3.99 RTSA-01-SP-LRA-NML 2 2 
172.16.206.58 RTSA-01-RS-UGN-ITQ 2 2 
172.16.203.58 RTSA-01-RS-SLV-STL 4 3 
172.16.119.147 RTSA-01-RS.SHN.SDM 7 7 
172.17.18.90 RTSA-01-RS-SJA-SBSA 3 3 
172.17.23.58 RTSA-01-RS-TMI-TMI-AIRSW-538 5 5 
10.255.4.14 RJ.RJO.RB1.SW.EX.014 0 0 
10.255.3.110 RTSA-01-SP-MOC-ASP 5 5 
172.16.2.50 RTSA-01-RS-LVH-LVH 6 6 
10.255.3.97 RTSA-01-SP-POI-INT-POI 0 0 
172.16.211.219 SWAC-05-RS-PAE-STC 0 0 
10.255.3.77 SWAC-01-SP-POI-TIG-POI 0 0 
10.255.3.65 RTSA-02-SP-CNH-CNH 0 0 
172.24.70.11 RTSA-01-SP-SPO-VRO-VOZ_SW-709 3 3 
172.16.46.106 RTSA-01-RS-FCA-FCU-AIRSW-106 4 4 
10.255.0.98 SWAC-01-RS-VAO-VM2 0 0 
172.16.222.162 swac-03-rs-tri-tdi 0 0 
10.255.0.125 AIRSW-642-SEBRATEL 0 0 
172.16.157.170 SWAC-01-RS-PMM-CID2221-airsw-732 0 0 
10.255.3.90 RTSA-01-SP-SPO-PJD 5 5 
172.16.222.186 RTSA-01-RS-TRI-TDI-AIRSW-684 0 0 
