RTSA-01-SP-DTC-IBM-POI 10.255.3.134 7
rtsa-02-sp-mmm-jos 10.255.3.135 8
RTSA-04-SP-DTC-EQ2-POI 10.255.3.136 2
RTSA-01-SP-SPO-VLO 10.255.3.137 18
RTSA-01-SP-SPO-CAT 10.255.3.139 14
RTSA-01-SP-BTU-BTU 10.255.3.14 5
SWAC-01-SP-SPO-PJD 10.255.3.141 12
SWAC-01-SP-OCO-OCO 10.255.3.147 13
RTSA-01-SP-BRU-BRU 10.255.3.15 9
RTSA-01-SP-ARQ-ARQ 10.255.3.16 13
RTSA-01-SP-RPO-SLM 10.255.3.17 11
RTSA-01-SP-JAI-IND 10.255.3.18 5
RTSA-01-SP-SPO-PDM 10.255.3.19 28
SWAC-04-SP-STS-STS 10.255.3.2 20
RTSA-01-SP-SPO-NVA 10.255.3.20 18
RTSA-01-SP-CJR-POL 10.255.3.22 9
RTSA-01-SP-JAI-JAI 10.255.3.25 9
RTSA-01-SP-DTC-MTX-POI 10.255.3.26 29
RTSA-01-SP-LEP-JAG 10.255.3.27 3
rtsa-01-sp-spo-brf 10.255.3.3 130
RTSA-01-SP-SPO-POA 10.255.3.33 11
RTSA-01-SP-SPO-UOL-POI 10.255.3.34 8
RTSA-01-SP-SPO-AIR 10.255.3.35 28
RTSA-01-SP-SPO-CSL 10.255.3.37 33
RTSA-01-SP-SPO-VGE 10.255.3.38 37
SWAC-06-SP-SPO-GMM 10.255.3.39 41
SWAC-05-SP-SPO-BRF 10.255.3.4 76
SWAC-01-SP-SPO-NVA 10.255.3.40 38
RTSA-02-SP-SPO-CAT 10.255.3.42 42
RTSA-01-SP-SPO-TTP 10.255.3.43 18
RTSA-01-SP-POI-NEX-POI 10.255.3.49 16
RTSA-01-SP-PGE-STI 10.255.3.5 9
SWAC-01-SP-DTC-ACT-POI 10.255.3.50 12
RTSA-01-SP-RPO-RRP 10.255.3.51 7
SWAC-01-SP-IIA-AR-52 10.255.3.52 2
RTSA-01-SP-SOC-NMS 10.255.3.53 8
RTSA-01-SP-SPO-BRX 10.255.3.54 41
RTSA-01-SP-DTC-GVT-POI 10.255.3.55 3
RTSA-01-SP-POI-CTBC-POI 10.255.3.56 69
RTSA-01-SP-DTC-TMK-POI 10.255.3.57 50
RTSA-01-SP-SPO-ACL 10.255.3.58 37
RTSA-03-SP-CAS-CAS 10.255.3.59 32
RTSA-01-SP-INE-MPR 10.255.3.6 6
SWAC-01-SP-SOC-NMS 10.255.3.61 7
SWAC-01-SP-CPR-OSO 10.255.3.64 4
RTSA-02-SP-CNH-CNH 10.255.3.65 3
rtsa-01-sp-grs-gru 10.255.3.67 31
RTSA-02-SP-SPO-PDM 10.255.3.68 41
RTSA-01-SP-DTC-EQ1-POI 10.255.3.7 5
RTSA-01-SP-DTC-LCW-POI 10.255.3.70 12
SWAC-01-SP-ARQ-ARQ 10.255.3.71 2
RTSA-01-SP-BEP-SPS 10.255.3.72 7
RTSA-01-SP-JAU-JAU 10.255.3.73 5
RTSA-01-SP-PDI-PDI 10.255.3.74 8
RTSA-01-SP-DTC-ACT-POI 10.255.3.75 2
SWAC-01-SP-SPO-VGE 10.255.3.76 9
SWAC-01-SP-POI-TIG-POI 10.255.3.77 4
RTSA-02-SP-SCN-SCS 10.255.3.78 27
RTSA-01-SP-SPO-TRT 10.255.3.79 20
SWAC-01-SP-DTC-EQ1-POI 10.255.3.8 19
RTSA-01-SP-SPO-PPH 10.255.3.80 7
RTSA-01-SP-SPO-LIB 10.255.3.81 10
RTSA-01-SP-SPO-AME 10.255.3.82 10
SWAC-05-SP-SPO-BSA 10.255.3.83 35
SWAC-02-SP-SPO-TTP 10.255.3.84 34
SWAC-07-SP-SPO-PDM 10.255.3.86 18
RTSA-01-SP-POI-TIG-POI 10.255.3.87 22
SWAC-02-SP-CAS-CAS 10.255.3.88 15
RTSA-01-SP-AAS-ARS 10.255.3.89 3
RTSA-01-SP-SPO-STN 10.255.3.9 10
RTSA-01-SP-SPO-PJD 10.255.3.90 6
SWAC-01-SP-DDA-DDA 10.255.3.91 17
RTSA-01-SP-MMM-JOS 10.255.3.92 13
RTSA-01-SP-CAS-DTC-TIM 10.255.3.93 6
RTSA-01-SP-POI-INT-POI 10.255.3.97 5
RTSA-01-SP-LRA-NML 10.255.3.99 7
RJ.RJO.ALG1.SW.EX.010 10.255.4.10 18
RJ.RJO.LV3.SW.EX.011 10.255.4.11 19
RJ.RJO.TVT.SW.EX.012 10.255.4.12 24
RJ.RJO.TLP.SW.EX.013 10.255.4.13 8
RJ.RJO.RB1.SW.EX.014 10.255.4.14 7
RJ.RJO.ALG1.SW.EX.015 10.255.4.15 9
RJ.RJO.SCR.SW.EX.016 10.255.4.16 6
RJ.RJO.PLC.SW.EX.017 10.255.4.17 6
RJ.RJO.MEN.SW.EX.018 10.255.4.18 14
RJ.RJO.CIV.SW.EX.021 10.255.4.21 13
RJ.RJO.SCT.SW.EX.023 10.255.4.23 17
RJ.RJO.FLA.SW.EX.027 10.255.4.27 14
RJ.RJO.DHC.SW.EX.028 10.255.4.28 16
RJ.RJO.ANC.SW.EX.029 10.255.4.29 10
RJ.RJO.CPG.SW.EX.003 10.255.4.3 21
RJ.RJO.ARZ.SW.EX.030 10.255.4.30 8
RJ.RJO.GLB.SW.EX.001 10.255.4.31 2
RJ.RJO.RB1.SW.EX.004 10.255.4.4 36
RJ.RJO.ALG2.SW.EX.005 10.255.4.5 29
RJ.RJO.PLC.SW.EX.006 10.255.4.6 16
RJ.RJO.CIT.SW.EX.007 10.255.4.7 21
RJ.RJO.PEN.SW.EX.008 10.255.4.8 10
RJ.RJO.GPK.SW.EX.009 10.255.4.9 10
BA.SDR.CDA.SW.EX.2 10.255.5.2 6
CE.FLA.LV3.SW.EX.1 10.255.6.1 2
CE.FLA.SPO.SW.EX.2 10.255.6.2 2
CE.FLA.SPO.SW.EX.03 10.255.6.3 4
RJ.RJO.LZN.SW.EX.103.6 11.255.103.0 2
RJ.RJO.PDF.SW.JN.051 11.255.51.0 11
RTSA-01-RS-POI-LV3-POI 172.16.0.109 59
Airsw-78 172.16.0.226 0
RTSA-06-PAE-STC 172.16.0.90 23
RTPE-01-RS-PAE-HMT 172.16.1.52 3
SWAC-01-RS-PAS-SPA-AS274 172.16.103.107 no_result
SWAC-05-RS-PAS-SPA 172.16.103.210 no_result
RTSA-03-RS-PAS-PA2-DC1 172.16.103.218 110
RTSA-01-RS-MGO-MNG 172.16.104.122 18
RTSA-01-RS-NVSR-NSR 172.16.113.58 19
RTSA-01-RS-DDO-GM2 172.16.117.138 16
SWAC-01-RS-SHN-SDM 172.16.119.146 4
RTSA-01-RS.SHN.SDM 172.16.119.147 10
RTSA-01-RS-OSR-OSR 172.16.12.91 22
RTSA-01-RS-PMB-PMI 172.16.127.242 19
RTSA-01-RS-BGV-BGO-AIRSW-577 172.16.129.170 23
RTSA-03-RS-SDD-SLD 172.16.135.154 12
SWAC-01-RS-RGR-CID4606 172.16.138.154 no_result
SWAC-01-RS-RGR-RG2 172.16.138.202 no_result
SWAC-04-RS-RGR-RG2 172.16.138.204 no_result
SWAC-05-RS-RGR-RG2 172.16.138.74 no_result
RTSA-01-RS-DSR-DOI 172.16.14.67 23
rtsa-01-rs-cza-cz2 172.16.140.74 14
SWAC-02-RS-LJO-LJ2 172.16.142.107 no_result
SWAC-03-RS-LJO-LJ2 172.16.142.114 no_result
RTSA-01-RS-LJO-LJO 172.16.142.61 28
RTSA-01-RS-CND-CD1 172.16.143.194 12
SWAC-01-RS.CND.CLA-AIRSW-764 172.16.143.195 2
RTSA-01-RS-TJR-TPJ 172.16.145.114 9
RTSA-01-RS-FRL-FAR 172.16.15.66 27
RTSA-01-RS-IJI-ISU 172.16.152.114 22
SWAC-01-RS-IJU-ISU 172.16.152.66 19
RTSA-01-RS-EIO-EST 172.16.153.123 44
RTSA-01-RS.SEE.SPE 172.16.155.194 12
SWAC-01-RS-PMM-PMI 172.16.157.122 2
SWAC-01-RS-PMM-CID2221-airsw-732 172.16.157.170 3
RTSA-01-RS-PMM-PMI 172.16.157.90 11
RTSA-01-RS-GTI-GTI4 172.16.165.50 no_result
RTSA-01-RS-VAO-MRU 172.16.169.154 14
airsw-183.stech.net.br 172.16.17.194 0
RTSA-01-RS-PAE-PTS 172.16.172.52 26
RTSA-01-RS-CLB-CLB 172.16.175.53 8
RTSA-01-RS-CHN-CHN 172.16.179.178 29
RTSA-01-RS-SAN-SMA 172.16.180.146 8
RTSA-02-RS-SAN-SMA 172.16.180.52 18
RTSA-01-RS-BPR-BMP 172.16.181.130 12
SWAC-01-RS-POI-TIM-POI-SW155 172.16.184.114 8
RTSA-01-RS-PAE-VOZ_SW-224 172.16.184.132 73
RTSA-03-RS-PAE-STC 172.16.184.227 53
SWAC-01-RS-PAE-STC 172.16.184.228 0
RTSA-02-PAE-STC 172.16.184.91 55
SWAC-01-RS-PAE-CGO 172.16.186.154 23
SWAC-01-RS-POI-TEL-POI 172.16.186.155 69
RTSA-04-RS-PAE-CGO_SW-226 172.16.186.51 72
SWAC-13-RS-PAE-STC 172.16.187.187 112
SWAC-01-RS-PAE-IDC 172.16.187.82 53
RTSA-01-RS.SMA.SMA-AIRSW-392 172.16.188.82 9
RTSA-01-RS-SBY-SEB 172.16.190.114 8
AIRSW-052 172.16.2.10 20
RTSA-01-RS-LVH-LVH 172.16.2.50 6
RTSA-01-RS-IJH-IJH_SW-186 172.16.20.50 13
SWAC-01-RS.SMA.JMS-AIRSW-731 172.16.200.52 13
SWAC-03-RS-UGN-UGA 172.16.202.60 no_result
RTSA-01-RS-SLV-STL 172.16.203.58 7
RTSA-01-RS-SIV-SIV 172.16.203.98 15
RTSA-01-RS.SMA.JMS-AIRSW-552 172.16.205.178 24
RTSA-01-RS-UGN-ITQ 172.16.206.58 7
SWAC-01-RS-SLG-ALG 172.16.208.58 no_result
rtsa-01-rs-sfp-ivd 172.16.21.115 no_result
SWAC-05-RS-PAE-STC 172.16.211.219 4
airsw-626.stech.net.br 172.16.212.66 2
SWAC-03-RS-SRO-SRO 172.16.213.58 15
RTSA-01-RS-SRO-SRO 172.16.213.60 9
RTSA-01-RS-PKA-PCA 172.16.22.179 3
RTSA-01-RS-TUN-HMO 172.16.22.210 16
swac-04-rs-tri-tdi 172.16.222.146 17
swac-03-rs-tri-tdi 172.16.222.162 5
RTSA-01-RS-TRI-TDI-AIRSW-684 172.16.222.186 6
RTSA-01-RS-VAO-VM2 172.16.225.138 21
swac-01-rs-ros-rcs 172.16.23.114 0
RTSA-01-RS-SGB-PFO 172.16.232.58 17
SWAC-04-RS-GUB-GUA 172.16.233.50 no_result
SWAC-03-RS-GUB-GUA 172.16.233.98 no_result
SWAC-10-RS-SLL-SLO 172.16.234.50 no_result
SWAC-01-RS-SLL-SLO 172.16.234.51 no_result
swac-02-rs-plt-pl2 172.16.235.178 no_result
AIRSW-729-vetorial 172.16.235.252 0
SWAC-03-RS-PLT-PL2 172.16.235.50 no_result
RTSA-01-RS-TRF-TRF 172.16.236.74 12
airsw-580.stech.net.br 172.16.24.194 no_result
RTSA-01-RS-CFD-CDI 172.16.248.50 10
SWAC-01-RS-CFD-CDI 172.16.248.90 4
SWAC-14-RS-PAE-STC 172.16.249.138 25
RTSA-04-RS-PAE-STC 172.16.249.90 31
SWAC-02-RS-BGE-BGE 172.16.250.122 no_result
SWAC-04-RS-BGE-BGE 172.16.250.50 no_result
RTSA-01-RS-SUV-SND 172.16.253.98 5
SWAC-03-RS-CAM-CAM 172.16.26.186 no_result
SWAC-01-RS-CIO-CRN 172.16.29.202 12
RTSA-01-RS-CIO-CRN 172.16.29.218 11
SWAC-01-RS-RZO-INFO 172.16.29.250 2
SWAC-01-RS-ESU-ELD 172.16.34.218 no_result
SWAC-05-RS-SLE-SLD 172.16.35.90 no_result
RTSA-01-RS-VAI-VEN 172.16.36.106 12
SWAC-02-RS-VAI-VEN 172.16.36.138 9
SWAC-01-RS-NHO-NH1 172.16.37.99 no_result
SWAC-03-RS-PAS-PA2 172.16.39.187 no_result
SWAC-01-RS-PAE-FLR 172.16.4.178 12
SWAC-08-RS-PAE-FLR 172.16.4.90 no_result
RTSA-01-RS-NVP-NPS 172.16.40.52 12
RTSA-01-RS-NPT-NP3-AIRSW-565 172.16.42.106 13
RTSA-01-RS-PLT-PEL 172.16.45.234 no_result
RTSA-01-RS-FCA-FCU-AIRSW-106 172.16.46.106 7
SWAC-04-RS-TQR-TQR 172.16.49.98 no_result
RTSA-01-RS-CAN-CSU-AIRSW-197 172.16.5.157 63
RTSA-01-RS-TES-TEF_SW-320 172.16.50.68 10
RTSA-01-RS-GAO-GRE 172.16.51.130 11
SWAC-02-RS-PAS-SPA-AS138 172.16.52.75 0
SWAC-04-RS-PAS-SPA 172.16.52.76 1
SWAC-05-RS-PAE-HMT 172.16.58.70 0
SWAC-03-RS-PAE-HMT 172.16.58.91 59
RTSA-03-RS-PAE-CGO 172.16.61.74 45
RTSA-01-GTI-GVI 172.16.62.59 18
airsw-723.stech.net.br 172.16.68.186 no_result
SWAC-04-RS-KDK-CCA-ID1775 172.16.69.106 0
SWAC-02-RS-KDK-CCA-AIRSW-578 172.16.69.114 5
RTSA-01-RS-KDK-CCA-AIRSW-685 172.16.69.122 13
SWAC-01-RS-KDK-CCA 172.16.69.91 13
RTSA-01-RS-CCR-CC1 172.16.78.162 19
RTSA-01-RS-PAE-POL 172.16.8.138 17
RTSA-01-RS.SCR.GAN 172.16.81.139 28
RTSA-01-SCR-SCL 172.16.81.154 20
RTSA-01-RS-CEN-CA2 172.16.83.58 14
SWAC-03-RS-ESU-ELD 172.16.85.58 no_result
SWAC-02-RS-NHO-NH1 172.16.88.50 no_result
SWAC-03-RS-NHO-NH1 172.16.88.51 no_result
SWAC-ISP-01-RS-PAE-JOA 172.16.9.222 60
RTSA-02-RS-PAE-CGO 172.16.9.252 55
SWAC-04-RS-PAS-PA2 172.16.90.146 no_result
RTSA-01-RS-VAA-VCA 172.16.92.58 18
SWAC-02-RS-PLT-CID1850 172.16.96.66 no_result
RTSA-01-RS-TEP-TEP 172.17.11.58 10
RTSA-01-RS-DPO-DPO 172.17.12.58 9
swac-01-rs-rrs-rsl 172.17.14.58 5
RTSA-01-RS.RRS.RSL 172.17.14.60 5
RTSA-01-RS-SIA-SI2 172.17.16.58 11
SWAC-05-RS-CSL-UVA 172.17.17.82 no_result
SWAC-01-RS-SJA-SBSA 172.17.18.58 11
RTSA-01-RS-SJA-SBSA 172.17.18.90 8
SWAC-02-RS-SMA-PEB 172.17.2.114 no_result
SWAC-04-RS-SMA-PEB 172.17.2.50 no_result
RTSA-01-RS-HZA-HZA 172.17.22.58 9
RTSA-01-RS-TMI-TMI-AIRSW-538 172.17.23.58 8
SWAC-01-RS-PAE-HMT 172.17.25.66 10
SWAC-03-RS-DSR-DOI-AIRSW-690 172.17.29.146 3
rtsa-01-rs-jcs-jcs 172.17.3.58 13
SWAC-04-RS-PAE-PTS 172.17.30.50 11
SWAC-04-RS-SLE-SLD 172.17.32.66 no_result
RTSA-02-RS-TES-TR1_AIRSW-432 172.17.4.58 11
RTSA-01-RS-CQI-CQI 172.17.43.50 6
SWAC-01-RS-CQI-CQI-airsw-707 172.17.43.51 2
SWAC-02-RS-CAN-CSU-AIRSW-753 172.17.44.50 12
RTPE-01-RS-PAE-JOA 172.17.45.210 1
RTSA01-RS.FWN.FDW-airsw-444 172.17.5.50 9
RTSA-01-RS-GRD-GRD 172.17.9.58 9
RTSA-02-SC-PAC-GAL_SW-422 172.20.0.2 13
swac-02-sc-pac-gal 172.20.0.50 7
SWAC-01-SC-CUA-CRI_SW-734 172.20.1.98 no_result
SWAC-01-SC-BNU-BNU_SW-597 172.20.11.10 no_result
SWAC-01-SC-SBS-SBS_SW-624 172.20.16.10 no_result
SWAC-01-SC-FNS-FNS_SW-469 172.20.4.10 no_result
SWAC-01-SC-JGS-JGS_SW-505 172.20.5.10 no_result
SWAC-01-SC-IQI-ITA_SW-563 172.20.8.10 no_result
SWAC-04-PR-CTA-VQM_SW-679 172.22.0.138 failure
RTSA-02-PR-CTA-LV3-POI_SW-683 172.22.0.162 2
RTSA-02-PR-CTA-VQM_AIRSW-457 172.22.0.2 20
RTSA-01-PR-CTA-LV3-POI_SW-621 172.22.0.98 7
RTSA-01-SP-RCO-ALM 172.24.106.3 no_result
SWAC-01-SP-BRE-ALP 172.24.121.180 no_result
RTPE-01-SP-SPO-BRF 172.24.138.157 8
SPO.MMM.MMM.SW.EX.002 172.24.15.2 0
RTPE-01-SP-SPO-VRAO 172.24.166.6 9
SWAC-01-SP-SPO-SMR 172.24.173.35 no_result
SWAC-02-SP-DDA-DDA 172.24.191.11 no_result
RTSA-01-SP-DTC-TVT3-POI 172.24.23.94 no_result
SWAC-04-SP-SCN-SCS 172.24.43.124 no_result
RTSA-01-SP-SPO-VRO-VOZ_SW-709 172.24.70.11 8
SP.SPO.VRAO.SW.EX.002 172.24.70.2 0
SP.SPO.BTU.SW.EX.072 172.24.79.2 0
RSTA-01-RJ-RJO-RB1-VOZ 172.28.1.2 4
RTPE-01-RJ-RJO-SCR 172.28.22.100 5
RTPE-01-RJ-RJO-TLP 172.28.24.26 4
RJ.RJO.SCT.SW.EX.022 172.31.100.194 no_result
RTSA-01-MG-BHE-BPT-VOZ "172.31.100.34
" 3
RTSA-01-MG-BHE-BPT-VOZ 172.31.100.34 3
RTSA-02-SP-SPO-GCO 172.31.111.211 no_result
SWAC-02-SP-DTC-LV3-POI 172.31.111.59 no_result
SWAC-08-RS-CSL-UVA 172.31.96.34 no_result
SWAC-07-RS-CSL-CID3011-AIRSW-455 172.31.96.36 no_result
