IP HOST VPLS_CONFIGURADO VPLS_ATIVO VPLS_INATIVO
10.255.3.73 RTSA-01-SP-JAU-JAU 7 2 71%
10.255.3.27 RTSA-01-SP-LEP-JAG 3 2 33%
10.255.3.99 RTSA-01-SP-LRA-NML 2 1 50%
10.255.3.92 RTSA-01-SP-MMM-JOS 19 16 16%
10.255.3.110 RTSA-01-SP-MOC-ASP 4 3 25%
10.255.3.74 RTSA-01-SP-PDI-PDI 7 4 43%
10.255.3.5 RTSA-01-SP-PGE-STI 10 7 30%
10.255.3.56 RTSA-01-SP-POI-CTBC-POI 18 11 39%
10.255.3.97 RTSA-01-SP-POI-INT-POI 5 3 40%
10.255.3.49 RTSA-01-SP-POI-NEX-POI 25 18 28%
10.255.3.105 RTSA-01-SP-POI-OI-POI 51 49 4%
10.255.3.87 RTSA-01-SP-POI-TIG-POI 27 23 15%
172.24.106.3 RTSA-01-SP-RCO-ALM 6 0 100%
10.255.3.51 RTSA-01-SP-RPO-RRP 11 6 45%
10.255.3.17 RTSA-01-SP-RPO-SLM 20 13 35%
10.255.3.44 RTSA-01-SP-SCN-SCS 12 12 0%
10.255.3.109 RTSA-01-SP-SJV-SJV 11 10 9%
10.255.3.53 RTSA-01-SP-SOC-NMS 7 5 29%
10.255.3.58 RTSA-01-SP-SPO-ACL 86 73 15%
10.255.3.82 RTSA-01-SP-SPO-AME 10 10 0%
10.255.0.52 RTSA-01-SP-SPO-BRF-VOZ_SW-021 8 5 38%
10.255.3.54 RTSA-01-SP-SPO-BRX 79 71 10%
10.255.3.139 RTSA-01-SP-SPO-CAT 19 3 84%
10.255.3.37 RTSA-01-SP-SPO-CSL 100 96 4%
10.255.3.41 RTSA-01-SP-SPO-GCO 299 299 0%
10.255.3.81 RTSA-01-SP-SPO-LIB 14 14 0%
10.255.3.1 RTSA-01-SP-SPO-MOO 24 21 12%
10.255.3.20 RTSA-01-SP-SPO-NVA 9 7 22%
10.255.3.19 RTSA-01-SP-SPO-PDM 36 31 14%
10.255.3.90 RTSA-01-SP-SPO-PJD 3 2 33%
10.255.3.33 RTSA-01-SP-SPO-POA 14 13 7%
10.255.3.80 RTSA-01-SP-SPO-PPH 32 26 19%
10.255.3.66 rtsa-01-sp-spo-smr 46 40 13%
10.255.3.9 RTSA-01-SP-SPO-STN 17 15 12%
10.255.3.79 RTSA-01-SP-SPO-TRT 38 37 3%
10.255.3.43 RTSA-01-SP-SPO-TTP 32 24 25%
10.255.3.34 RTSA-01-SP-SPO-UOL-POI 6 6 0%
10.255.3.38 RTSA-01-SP-SPO-VGE 61 60 2%
10.255.3.137 RTSA-01-SP-SPO-VLO 66 47 29%
172.24.70.11 RTSA-01-SP-SPO-VRO-VOZ_SW-709 4 4 0%
172.16.184.91 RTSA-02-PAE-STC 95 74 22%
172.22.0.162 RTSA-02-PR-CTA-LV3-POI_SW-683 1 0 100%
172.22.0.2 RTSA-02-PR-CTA-VQM_AIRSW-457 39 26 33%
172.16.9.252 RTSA-02-RS-PAE-CGO 137 124 9%
172.16.180.52 RTSA-02-RS-SAN-SMA 41 25 39%
172.17.4.58 RTSA-02-RS-TES-TR1_AIRSW-432 13 7 46%
172.20.0.2 RTSA-02-SC-PAC-GAL_SW-422 49 25 49%
10.255.3.11 RTSA-02-SP-CAS-CAS 18 17 6%
10.255.3.65 RTSA-02-SP-CNH-CNH 5 2 60%
10.255.3.135 rtsa-02-sp-mmm-jos 17 7 59%
10.255.3.126 RTSA-02-SP-OCO-OCO 61 53 13%
10.255.3.78 RTSA-02-SP-SCN-SCS 60 49 18%
10.255.3.42 RTSA-02-SP-SPO-CAT 129 125 3%
10.255.3.68 RTSA-02-SP-SPO-PDM 174 169 3%
172.16.61.74 RTSA-03-RS-PAE-CGO 151 137 9%
172.16.184.227 RTSA-03-RS-PAE-STC 269 254 6%
172.16.103.218 RTSA-03-RS-PAS-PA2-DC1 53 52 2%
172.16.135.154 RTSA-03-RS-SDD-SLD 14 14 0%
10.255.3.59 RTSA-03-SP-CAS-CAS 78 62 21%
10.255.3.122 RTSA-03-SP-DTC-EQ2-POI 16 10 38%
172.16.186.51 RTSA-04-RS-PAE-CGO_SW-226 642 623 3%
172.16.249.90 RTSA-04-RS-PAE-STC 63 40 37%
10.255.3.136 RTSA-04-SP-DTC-EQ2-POI 8 5 38%
10.255.3.3 RTSA-05-SP-SPO-BRF 148 143 3%
172.16.0.90 RTSA-06-PAE-STC 27 22 19%
10.255.0.120 RTSA01-RS.FWN.FDW-airsw-444 11 8 27%
10.150.109.5 SLA-BVT-01-CR-X670-001 45 40 11%
10.255.3.35 SP.SPO.AIR.SW.EX.035 74 68 8%
10.150.109.3 SW-STE-01-CR-X670-001 147 144 2%
172.16.248.90 SWAC-01-RS-CFD-CDI 1 0 100%
10.255.0.38 SWAC-01-RS-CIO-CRN 8 6 25%
10.255.0.178 SWAC-01-RS-CQI-CQI-airsw-707 1 1 0%
